order_id,order_date,order_status,customer_id,gender,city,state,product_id,product_name,category,subcategory,quantity,selling_price,discount_percent,revenue,profit,freight_value,seller_id,seller_status_ref,seller_rating,delivery_days
ORD00001,2025-03-25 12:00:00,Returned,CUST0164,Male,Madurai,Tamil Nadu,PROD0066,Haircare Product 66,Beauty,Haircare,1,43922.73,5,43922.73,12011.51,253.2,SELL035,SELL035,4.6,
ORD00002,2025-06-07 23:00:00,Processing,CUST0299,Male,New Delhi,Delhi,PROD0084,Skincare Product 84,Beauty,Skincare,1,40463.35,10,40463.35,10332.54,304.26,SELL038,SELL038,4.3,
ORD00003,2025-12-15 07:00:00,Delivered,CUST0076,Male,Mysuru,Karnataka,PROD0041,Accessories Product 41,Fashion,Accessories,1,31391.62,10,31391.62,10900.77,222.88,SELL027,SELL027,3.7,4
ORD00004,2025-12-28 04:00:00,Delivered,CUST0032,Female,Vijayawada,Andhra Pradesh,PROD0049,Skincare Product 49,Beauty,Skincare,3,29294.94,5,87884.82,30995.37,280.57,SELL021,SELL021,4.2,5
ORD00005,2025-04-09 07:00:00,Delivered,CUST0248,Male,Mumbai,Maharashtra,PROD0099,Men Product 99,Fashion,Men,1,12717.61,0,12717.61,3542.29,468.84,SELL032,SELL032,3.9,4
ORD00005,2025-04-09 07:00:00,Delivered,CUST0248,Male,Mumbai,Maharashtra,PROD0037,Haircare Product 37,Beauty,Haircare,1,44213.93,5,44213.93,13402.77,285.3,SELL018,SELL018,4.1,7
ORD00005,2025-04-09 07:00:00,Delivered,CUST0248,Male,Mumbai,Maharashtra,PROD0091,Audio Product 91,Electronics,Audio,2,16046.77,20,32093.54,2263.72,408.17,SELL026,SELL026,4.3,9
ORD00005,2025-04-09 07:00:00,Delivered,CUST0248,Male,Mumbai,Maharashtra,PROD0027,Women Product 27,Fashion,Women,1,38789.62,20,38789.62,4128.14,67.14,SELL019,SELL019,4.9,4
ORD00006,2025-10-03 08:00:00,Cancelled,CUST0104,Male,Surat,Gujarat,PROD0076,Makeup Product 76,Beauty,Makeup,1,1675.05,10,1675.05,574.3,279.59,SELL016,SELL016,4.2,
ORD00007,2025-12-15 04:00:00,Delivered,CUST0052,Male,Thrissur,Kerala,PROD0061,Makeup Product 61,Beauty,Makeup,2,21421.48,10,42842.96,16190.48,165.01,SELL031,SELL031,3.6,9
ORD00008,2025-10-01 23:00:00,Delivered,CUST0119,Male,Coimbatore,Tamil Nadu,PROD0023,Audio Product 23,Electronics,Audio,4,40147.29,5,160589.16,63000.28,262.83,SELL003,SELL003,4.7,5
ORD00009,2025-01-20 00:00:00,Delivered,CUST0149,Male,Visakhapatnam,Andhra Pradesh,PROD0059,Accessories Product 59,Electronics,Accessories,1,1776.45,15,1776.45,513.23,93.07,SELL035,SELL035,4.6,6
ORD00010,2025-08-23 20:00:00,Delivered,CUST0084,Male,Surat,Gujarat,PROD0073,Women Product 73,Fashion,Women,1,40503.58,15,40503.58,12458.4,451.61,SELL013,SELL013,5.0,8
