customer_id,customer_name,gender,age,city,state,registration_date
CUST0001,Customer 1,Female,33,Vijayawada,Andhra Pradesh,2024-08-16
CUST0002,Customer 2,Male,52,Mangaluru,Karnataka,2024-03-30
CUST0003,Customer 3,Male,31,Ahmedabad,Gujarat,2024-08-26
CUST0004,Customer 4,Male,59,Nizamabad,Telangana,2025-12-19
CUST0005,Customer 5,Male,35,Ahmedabad,Gujarat,2024-01-07
CUST0006,Customer 6,Male,35,Mangaluru,Karnataka,2024-06-08
CUST0007,Customer 7,Male,42,Coimbatore,Tamil Nadu,2024-04-09
CUST0008,Customer 8,Female,20,New Delhi,Delhi,2025-04-15
CUST0009,Customer 9,Male,36,Visakhapatnam,Andhra Pradesh,2025-10-05
CUST0010,Customer 10,Female,20,New Delhi,Delhi,2025-11-08
CUST0011,Customer 11,Other,32,Coimbatore,Tamil Nadu,2024-04-13
CUST0012,Customer 12,Male,41,Surat,Gujarat,2024-06-15
CUST0013,Customer 13,Male,35,New Delhi,Delhi,2025-12-19
CUST0014,Customer 14,Female,52,Tirupati,Andhra Pradesh,2024-09-07
CUST0015,Customer 15,Male,58,Mysuru,Karnataka,2025-12-05
CUST0016,Customer 16,Male,21,Madurai,Tamil Nadu,2024-08-22
CUST0017,Customer 17,Male,22,Warangal,Telangana,2024-08-04
CUST0018,Customer 18,Female,43,New Delhi,Delhi,2025-10-20
CUST0019,Customer 19,Male,33,Kochi,Kerala,2025-07-28
CUST0020,Customer 20,Female,55,Nagpur,Maharashtra,2025-02-12
CUST0021,Customer 21,Other,26,New Delhi,Delhi,2025-06-05
CUST0022,Customer 22,Female,25,Kochi,Kerala,2024-06-05
CUST0023,Customer 23,Male,22,Mangaluru,Karnataka,2025-01-29
CUST0024,Customer 24,Other,51,Vadodara,Gujarat,2024-09-14
CUST0025,Customer 25,Female,52,Nizamabad,Telangana,2024-09-30
CUST0026,Customer 26,Male,28,New Delhi,Delhi,2025-04-09
CUST0027,Customer 27,Female,34,Nizamabad,Telangana,2025-05-27
CUST0028,Customer 28,Female,58,Mangaluru,Karnataka,2024-11-01
CUST0029,Customer 29,Male,28,Chennai,Tamil Nadu,2025-07-06
CUST0030,Customer 30,Male,19,Nizamabad,Telangana,2024-04-24
CUST0031,Customer 31,Male,33,New Delhi,Delhi,2025-08-03
CUST0032,Customer 32,Female,22,Vijayawada,Andhra Pradesh,2025-06-29
CUST0033,Customer 33,Female,53,Bengaluru,Karnataka,2024-06-18
CUST0034,Customer 34,Female,45,Nagpur,Maharashtra,2024-08-04
CUST0035,Customer 35,Male,60,Madurai,Tamil Nadu,2025-10-27
CUST0036,Customer 36,Female,46,New Delhi,Delhi,2024-05-03
CUST0037,Customer 37,Male,19,Chennai,Tamil Nadu,2025-08-25
CUST0038,Customer 38,Male,22,Madurai,Tamil Nadu,2025-12-25
CUST0039,Customer 39,Male,20,Hyderabad,Telangana,2024-12-04
CUST0040,Customer 40,Male,60,Tirupati,Andhra Pradesh,2025-05-12
CUST0041,Customer 41,Male,54,Madurai,Tamil Nadu,2025-08-13
CUST0042,Customer 42,Female,44,Kochi,Kerala,2024-07-13
CUST0043,Customer 43,Female,40,Vijayawada,Andhra Pradesh,2025-03-09
CUST0044,Customer 44,Female,21,Surat,Gujarat,2025-11-20
CUST0045,Customer 45,Male,39,Vijayawada,Andhra Pradesh,2024-04-21
CUST0046,Customer 46,Male,46,Chennai,Tamil Nadu,2024-05-23
CUST0047,Customer 47,Male,33,Ahmedabad,Gujarat,2024-03-18
CUST0048,Customer 48,Male,59,Kozhikode,Kerala,2025-07-07
CUST0049,Customer 49,Female,33,Hyderabad,Telangana,2024-06-19
CUST0050,Customer 50,Male,43,Surat,Gujarat,2024-03-01
CUST0051,Customer 51,Male,42,Mysuru,Karnataka,2024-09-28
CUST0052,Customer 52,Male,53,Thrissur,Kerala,2025-11-08
CUST0053,Customer 53,Male,31,Kochi,Kerala,2024-02-29
CUST0054,Customer 54,Male,21,Nizamabad,Telangana,2025-08-21
CUST0055,Customer 55,Female,51,Kozhikode,Kerala,2024-06-10
CUST0056,Customer 56,Male,29,Nizamabad,Telangana,2024-03-11
CUST0057,Customer 57,Female,43,Tirupati,Andhra Pradesh,2024-05-02
CUST0058,Customer 58,Female,57,Madurai,Tamil Nadu,2024-03-24
CUST0059,Customer 59,Female,51,Vadodara,Gujarat,2024-11-19
CUST0060,Customer 60,Female,38,Mumbai,Maharashtra,2024-09-01
CUST0061,Customer 61,Male,59,Pune,Maharashtra,2024-11-03
CUST0062,Customer 62,Female,22,Thrissur,Kerala,2024-01-10
CUST0063,Customer 63,Other,24,Kozhikode,Kerala,2024-03-16
CUST0064,Customer 64,Male,40,Madurai,Tamil Nadu,2024-03-11
CUST0065,Customer 65,Male,46,Coimbatore,Tamil Nadu,2025-07-10
CUST0066,Customer 66,Other,59,Nagpur,Maharashtra,2025-06-25
CUST0067,Customer 67,Female,37,Nizamabad,Telangana,2025-11-10
CUST0068,Customer 68,Male,24,Vijayawada,Andhra Pradesh,2025-07-20
CUST0069,Customer 69,Male,31,Mysuru,Karnataka,2024-12-17
CUST0070,Customer 70,Female,34,Madurai,Tamil Nadu,2025-06-01
CUST0071,Customer 71,Female,21,Thrissur,Kerala,2024-04-04
CUST0072,Customer 72,Male,39,Surat,Gujarat,2024-05-13
CUST0073,Customer 73,Female,53,Mumbai,Maharashtra,2025-12-23
CUST0074,Customer 74,Male,22,Vadodara,Gujarat,2025-12-08
CUST0075,Customer 75,Male,41,Mangaluru,Karnataka,2025-08-19
CUST0076,Customer 76,Male,37,Mysuru,Karnataka,2025-01-08
CUST0077,Customer 77,Male,33,Warangal,Telangana,2025-11-13
CUST0078,Customer 78,Female,44,Visakhapatnam,Andhra Pradesh,2025-09-27
CUST0079,Customer 79,Female,29,Bengaluru,Karnataka,2025-02-26
CUST0080,Customer 80,Female,39,Hyderabad,Telangana,2025-02-25
CUST0081,Customer 81,Male,24,Coimbatore,Tamil Nadu,2025-01-26
CUST0082,Customer 82,Male,47,Warangal,Telangana,2024-12-24
CUST0083,Customer 83,Male,60,Mumbai,Maharashtra,2024-07-16
CUST0084,Customer 84,Male,22,Surat,Gujarat,2024-10-12
CUST0085,Customer 85,Female,52,New Delhi,Delhi,2024-12-05
CUST0086,Customer 86,Female,34,Hyderabad,Telangana,2024-07-01
CUST0087,Customer 87,Male,45,Mumbai,Maharashtra,2024-12-19
CUST0088,Customer 88,Female,50,New Delhi,Delhi,2024-04-28
CUST0089,Customer 89,Male,20,Vadodara,Gujarat,2025-12-26
CUST0090,Customer 90,Male,52,Ahmedabad,Gujarat,2025-12-04
CUST0091,Customer 91,Male,60,Coimbatore,Tamil Nadu,2024-12-04
CUST0092,Customer 92,Female,37,New Delhi,Delhi,2025-06-03
CUST0093,Customer 93,Male,43,Nagpur,Maharashtra,2025-12-14
CUST0094,Customer 94,Male,44,Nagpur,Maharashtra,2025-11-11
CUST0095,Customer 95,Female,29,Vadodara,Gujarat,2025-09-22
CUST0096,Customer 96,Female,18,Pune,Maharashtra,2024-11-07
CUST0097,Customer 97,Male,55,Mumbai,Maharashtra,2025-09-13
CUST0098,Customer 98,Male,31,New Delhi,Delhi,2025-06-07
CUST0099,Customer 99,Male,23,Kozhikode,Kerala,2024-10-17
CUST0100,Customer 100,Female,33,New Delhi,Delhi,2025-11-19
CUST0101,Customer 101,Female,27,Mumbai,Maharashtra,2024-01-26
CUST0102,Customer 102,Other,57,Hyderabad,Telangana,2024-03-15
CUST0103,Customer 103,Female,54,Thrissur,Kerala,2024-07-18
CUST0104,Customer 104,Male,27,Surat,Gujarat,2025-11-02
