order_id,order_item_id,product_id,seller_id,quantity,selling_price,discount_percent,item_revenue,freight_value
ORD00001,1,PROD0066,SELL035,1,43922.73,5,43922.73,253.2
ORD00002,1,PROD0084,SELL038,1,40463.35,10,40463.35,304.26
ORD00003,1,PROD0041,SELL027,1,31391.62,10,31391.62,222.88
ORD00004,1,PROD0049,SELL021,3,29294.94,5,87884.82,280.57
ORD00005,1,PROD0099,SELL032,1,12717.61,0,12717.61,468.84
ORD00005,2,PROD0037,SELL018,1,44213.93,5,44213.93,285.3
ORD00005,3,PROD0091,SELL026,2,16046.77,20,32093.54,408.17
ORD00005,4,PROD0027,SELL019,1,38789.62,20,38789.62,67.14
ORD00006,1,PROD0076,SELL016,1,1675.05,10,1675.05,279.59
ORD00007,1,PROD0061,SELL031,2,21421.48,10,42842.96,165.01
ORD00008,1,PROD0023,SELL003,4,40147.29,5,160589.16,262.83
ORD00009,1,PROD0059,SELL035,1,1776.45,15,1776.45,93.07
ORD00010,1,PROD0073,SELL013,1,40503.58,15,40503.58,451.61
ORD00010,2,PROD0087,SELL028,1,39736.4,0,39736.4,344.55
ORD00011,1,PROD0093,SELL037,1,5836.51,10,5836.51,355.6
ORD00012,1,PROD0029,SELL015,3,17622.59,5,52867.77,243.84
ORD00013,1,PROD0068,SELL034,2,16230.27,0,32460.54,295.16
ORD00013,2,PROD0058,SELL004,2,26927.03,15,53854.06,125.01
ORD00014,1,PROD0008,SELL030,1,24083.74,5,24083.74,295.04
ORD00015,1,PROD0009,SELL035,4,42118.82,15,168475.28,62.44
ORD00016,1,PROD0085,SELL035,1,28453.78,15,28453.78,85.76
ORD00017,1,PROD0030,SELL016,1,38529.57,0,38529.57,118.59
ORD00018,1,PROD0009,SELL007,1,47073.97,5,47073.97,345.85
ORD00019,1,PROD0030,SELL037,1,34676.61,10,34676.61,180.71
ORD00019,2,PROD0094,SELL020,2,18740.16,20,37480.32,274.99
ORD00019,3,PROD0074,SELL027,1,39120.27,0,39120.27,475.8
ORD00019,4,PROD0041,SELL012,1,33135.6,5,33135.6,262.94
ORD00020,1,PROD0069,SELL031,1,15498.17,0,15498.17,433.04
ORD00021,1,PROD0058,SELL024,1,28510.97,10,28510.97,119.53
ORD00022,1,PROD0039,SELL013,3,11420.8,0,34262.4,499.8
ORD00022,2,PROD0002,SELL031,3,2772.25,10,8316.75,360.77
ORD00022,3,PROD0028,SELL026,3,11297.07,5,33891.21,394.49
ORD00023,1,PROD0041,SELL024,1,34879.58,0,34879.58,436.12
ORD00023,2,PROD0027,SELL010,1,46062.68,5,46062.68,304.49
ORD00024,1,PROD0063,SELL032,1,12458.28,10,12458.28,195.52
ORD00025,1,PROD0001,SELL027,1,22941.01,10,22941.01,61.94
ORD00026,1,PROD0093,SELL018,1,6485.01,0,6485.01,266.04
ORD00027,1,PROD0035,SELL006,1,43024.53,5,43024.53,295.55
ORD00027,2,PROD0051,SELL015,1,40529.56,15,40529.56,67.89
ORD00028,1,PROD0056,SELL022,1,5854.06,15,5854.06,74.82
ORD00029,1,PROD0085,SELL003,1,28453.78,15,28453.78,37.36
ORD00030,1,PROD0070,SELL022,1,31109.22,10,31109.22,401.53
