payment_id,order_id,payment_method,payment_amount,payment_status
PAY00001,ORD00001,Debit Card,43924.39,Paid
PAY00002,ORD00002,Debit Card,40480.4,Paid
PAY00003,ORD00003,Cash on Delivery,31469.12,Paid
PAY00004,ORD00004,Credit Card,87939.45,Paid
PAY00005,ORD00005,UPI,127907.1,Paid
PAY00006,ORD00006,Debit Card,1738.84,Paid
PAY00007,ORD00007,Credit Card,42871.5,Paid
PAY00008,ORD00008,Cash on Delivery,160682.82,Paid
PAY00009,ORD00009,Debit Card,1826.87,Paid
PAY00010,ORD00010,UPI,80258.46,Paid
PAY00011,ORD00011,Net Banking,5842.72,Paid
PAY00012,ORD00012,Debit Card,52966.65,Paid
PAY00013,ORD00013,Debit Card,86368.27,Paid
PAY00014,ORD00014,Credit Card,24139.62,Paid
PAY00015,ORD00015,Debit Card,168568.66,Paid
PAY00016,ORD00016,Cash on Delivery,28553.06,Paid
PAY00017,ORD00017,Debit Card,38617.09,Paid
PAY00018,ORD00018,Cash on Delivery,47161.19,Paid
PAY00019,ORD00019,Net Banking,144510.03,Paid
PAY00020,ORD00020,Credit Card,15512.61,Paid
PAY00021,ORD00021,UPI,28537.82,Paid
PAY00022,ORD00022,UPI,76508.43,Paid
PAY00023,ORD00023,Net Banking,81014.26,Paid
PAY00024,ORD00024,Debit Card,12472.28,Paid
PAY00025,ORD00025,UPI,22956.11,Paid
PAY00026,ORD00026,Credit Card,6554.8,Paid
PAY00027,ORD00027,UPI,83653.26,Paid
PAY00028,ORD00028,Debit Card,5906.88,Paid
PAY00029,ORD00029,Debit Card,28474.5,Paid
PAY00030,ORD00030,Credit Card,31178.15,Paid
PAY00031,ORD00031,UPI,56351.36,Paid
PAY00032,ORD00032,Debit Card,43745.24,Paid
PAY00033,ORD00033,Cash on Delivery,57222.27,Paid
PAY00034,ORD00034,Net Banking,39340.56,Paid
PAY00035,ORD00035,Net Banking,81414.11,Paid
PAY00036,ORD00036,Cash on Delivery,51061.35,Paid
PAY00037,ORD00037,UPI,114243.44,Paid
PAY00038,ORD00038,Net Banking,121212.65,Paid
PAY00039,ORD00039,Debit Card,26447.49,Paid
PAY00040,ORD00040,Net Banking,27338.45,Paid
PAY00041,ORD00041,Debit Card,12396.09,Paid
PAY00042,ORD00042,Credit Card,42637.23,Failed
PAY00043,ORD00043,Debit Card,1972.82,Paid
PAY00044,ORD00044,Credit Card,17873.53,Paid
PAY00045,ORD00045,UPI,15426.17,Paid
PAY00046,ORD00046,Credit Card,47404.11,Paid
PAY00047,ORD00047,UPI,189830.38,Paid
PAY00048,ORD00048,Net Banking,15527.43,Paid
PAY00049,ORD00049,Cash on Delivery,15736.06,Paid
PAY00050,ORD00050,Net Banking,70788.68,Paid
PAY00051,ORD00051,Net Banking,31560.51,Paid
PAY00052,ORD00052,Net Banking,265943.63,Failed
PAY00053,ORD00053,UPI,1802.47,Paid
PAY00054,ORD00054,Debit Card,9771.84,Paid
PAY00055,ORD00055,Credit Card,110179.64,Paid
PAY00056,ORD00056,Debit Card,42103.93,Paid
PAY00057,ORD00057,UPI,53965.02,Paid
PAY00058,ORD00058,Credit Card,65006.18,Paid
PAY00059,ORD00059,Debit Card,203106.71,Paid
PAY00060,ORD00060,UPI,4203.5,Paid
PAY00061,ORD00061,UPI,17492.91,Paid
PAY00062,ORD00062,Debit Card,40097.78,Failed
PAY00063,ORD00063,Credit Card,12558.09,Paid
PAY00064,ORD00064,Credit Card,84186.98,Paid
PAY00065,ORD00065,Net Banking,292993.53,Paid
PAY00066,ORD00066,UPI,38147.12,Paid
PAY00067,ORD00067,Cash on Delivery,64549.78,Paid
PAY00068,ORD00068,Debit Card,22619.27,Paid
PAY00069,ORD00069,Credit Card,28563.12,Paid
PAY00070,ORD00070,UPI,123163.0,Paid
PAY00071,ORD00071,UPI,17939.83,Paid
PAY00072,ORD00072,Cash on Delivery,32864.55,Paid
PAY00073,ORD00073,Net Banking,114958.89,Paid
PAY00074,ORD00074,Credit Card,109780.14,Paid
PAY00075,ORD00075,Debit Card,46295.84,Paid
PAY00076,ORD00076,Debit Card,74149.6,Paid
