review_id,order_id,customer_id,rating,sentiment,review_date
REV00001,ORD00001,CUST0164,2,Negative,2025-04-09
REV00002,ORD00002,CUST0299,4,Positive,2025-06-21
REV00003,ORD00004,CUST0032,5,Positive,2026-01-07
REV00004,ORD00005,CUST0248,5,Positive,2025-04-17
REV00005,ORD00006,CUST0104,4,Positive,2025-10-20
REV00006,ORD00007,CUST0052,5,Positive,2026-01-04
REV00007,ORD00009,CUST0149,5,Positive,2025-02-01
REV00008,ORD00010,CUST0084,4,Positive,2025-09-01
REV00009,ORD00011,CUST0004,4,Positive,2025-05-28
REV00010,ORD00012,CUST0258,5,Positive,2026-01-13
REV00011,ORD00013,CUST0276,5,Positive,2025-12-23
REV00012,ORD00014,CUST0060,4,Positive,2025-12-17
REV00013,ORD00015,CUST0203,4,Positive,2025-05-17
REV00014,ORD00016,CUST0216,2,Negative,2025-07-20
REV00015,ORD00018,CUST0017,1,Negative,2025-12-21
REV00016,ORD00020,CUST0196,2,Negative,2025-10-11
REV00017,ORD00021,CUST0214,4,Positive,2025-10-17
REV00018,ORD00022,CUST0097,4,Positive,2025-11-07
REV00019,ORD00023,CUST0185,3,Neutral,2025-09-29
REV00020,ORD00024,CUST0195,3,Neutral,2025-11-07
REV00021,ORD00025,CUST0031,4,Positive,2025-09-29
REV00022,ORD00026,CUST0248,5,Positive,2025-12-11
REV00023,ORD00027,CUST0055,1,Negative,2025-03-05
REV00024,ORD00028,CUST0195,3,Neutral,2025-08-02
REV00025,ORD00029,CUST0244,5,Positive,2025-06-02
REV00026,ORD00030,CUST0040,5,Positive,2025-06-16
REV00027,ORD00031,CUST0028,3,Neutral,2025-03-11
REV00028,ORD00034,CUST0198,3,Neutral,2025-01-14
REV00029,ORD00035,CUST0223,4,Positive,2025-05-30
REV00030,ORD00036,CUST0246,4,Positive,2025-06-26
REV00031,ORD00037,CUST0108,4,Positive,2025-08-28
REV00032,ORD00038,CUST0279,4,Positive,2025-02-04
REV00033,ORD00040,CUST0073,1,Negative,2025-07-10
REV00034,ORD00041,CUST0056,5,Positive,2025-12-27
REV00035,ORD00042,CUST0015,2,Negative,2025-11-28
REV00036,ORD00043,CUST0271,5,Positive,2025-12-06
REV00037,ORD00045,CUST0089,5,Positive,2025-10-27
REV00038,ORD00046,CUST0252,5,Positive,2025-08-18
REV00039,ORD00047,CUST0282,5,Positive,2025-10-04
REV00040,ORD00048,CUST0085,5,Positive,2025-11-30
REV00041,ORD00049,CUST0049,3,Neutral,2025-03-21
REV00042,ORD00050,CUST0213,5,Positive,2025-07-16
REV00043,ORD00051,CUST0235,5,Positive,2025-12-04
REV00044,ORD00052,CUST0025,2,Negative,2025-02-04
REV00045,ORD00053,CUST0120,5,Positive,2025-08-14
REV00046,ORD00054,CUST0245,2,Negative,2025-02-26
REV00047,ORD00055,CUST0005,3,Neutral,2025-11-13
REV00048,ORD00056,CUST0128,3,Neutral,2025-10-15
REV00049,ORD00057,CUST0271,2,Negative,2025-01-17
REV00050,ORD00059,CUST0080,5,Positive,2025-10-09
REV00051,ORD00061,CUST0016,3,Neutral,2025-06-26
REV00052,ORD00062,CUST0294,4,Positive,2025-12-24
REV00053,ORD00065,CUST0013,5,Positive,2025-05-13
REV00054,ORD00066,CUST0235,5,Positive,2025-02-25
REV00055,ORD00068,CUST0047,3,Neutral,2025-03-29
REV00056,ORD00070,CUST0191,4,Positive,2025-12-25
REV00057,ORD00071,CUST0141,3,Neutral,2025-06-11
REV00058,ORD00072,CUST0128,4,Positive,2025-11-21
REV00059,ORD00073,CUST0144,5,Positive,2025-02-12
REV00060,ORD00075,CUST0166,4,Positive,2025-02-06
REV00061,ORD00076,CUST0081,5,Positive,2025-08-21
REV00062,ORD00077,CUST0290,5,Positive,2025-03-04
REV00063,ORD00080,CUST0210,4,Positive,2026-01-03
REV00064,ORD00081,CUST0246,4,Positive,2025-04-26
REV00065,ORD00082,CUST0196,4,Positive,2025-07-29
REV00066,ORD00083,CUST0117,4,Positive,2025-10-29
REV00067,ORD00084,CUST0293,4,Positive,2025-12-23
REV00068,ORD00086,CUST0289,5,Positive,2025-03-07
REV00069,ORD00088,CUST0051,4,Positive,2025-05-15
REV00070,ORD00090,CUST0128,4,Positive,2025-02-03
REV00071,ORD00091,CUST0283,1,Negative,2025-07-01
REV00072,ORD00092,CUST0243,5,Positive,2025-03-23
REV00073,ORD00094,CUST0167,5,Positive,2025-05-24
REV00074,ORD00095,CUST0255,5,Positive,2025-06-14
REV00075,ORD00097,CUST0046,5,Positive,2025-05-12
REV00076,ORD00098,CUST0153,5,Positive,2025-08-12
REV00077,ORD00099,CUST0030,1,Negative,2025-01-15
REV00078,ORD00100,CUST0272,4,Positive,2025-04-14
REV00079,ORD00101,CUST0176,5,Positive,2025-09-27
REV00080,ORD00102,CUST0025,3,Neutral,2025-11-07
REV00081,ORD00103,CUST0215,3,Neutral,2025-02-26
REV00082,ORD00104,CUST0281,5,Positive,2025-09-17
REV00083,ORD00105,CUST0132,5,Positive,2025-11-29
REV00084,ORD00106,CUST0005,5,Positive,2025-03-19
REV00085,ORD00108,CUST0248,4,Positive,2025-09-25
REV00086,ORD00109,CUST0049,4,Positive,2025-08-27
REV00087,ORD00110,CUST0085,5,Positive,2025-02-24
REV00088,ORD00112,CUST0288,4,Positive,2025-04-21
REV00089,ORD00114,CUST0055,5,Positive,2025-05-27
REV00090,ORD00118,CUST0112,4,Positive,2025-05-03
REV00091,ORD00119,CUST0214,5,Positive,2025-12-23
REV00092,ORD00120,CUST0129,4,Positive,2025-04-03
REV00093,ORD00122,CUST0280,4,Positive,2025-11-11
REV00094,ORD00123,CUST0083,4,Positive,2025-11-09
REV00095,ORD00124,CUST0038,4,Positive,2026-01-17
REV00096,ORD00125,CUST0005,4,Positive,2025-03-04
REV00097,ORD00127,CUST0223,3,Neutral,2025-12-12
REV00098,ORD00128,CUST0231,4,Positive,2025-11-30
REV00099,ORD00132,CUST0282,4,Positive,2025-09-02
REV00100,ORD00134,CUST0224,5,Positive,2025-06-10
REV00101,ORD00135,CUST0101,3,Neutral,2025-06-03
REV00102,ORD00136,CUST0242,4,Positive,2025-12-17
REV00103,ORD00137,CUST0082,5,Positive,2025-04-05
REV00104,ORD00138,CUST0021,5,Positive,2025-12-03
REV00105,ORD00139,CUST0265,4,Positive,2025-05-14
REV00106,ORD00140,CUST0118,1,Negative,2025-08-21
REV00107,ORD00141,CUST0076,4,Positive,2025-02-15
REV00108,ORD00142,CUST0247,4,Positive,2025-04-16
REV00109,ORD00143,CUST0215,1,Negative,2025-04-02
REV00110,ORD00144,CUST0268,1,Negative,2025-08-06
REV00111,ORD00146,CUST0212,5,Positive,2025-10-26
REV00112,ORD00147,CUST0083,5,Positive,2025-03-08
REV00113,ORD00149,CUST0090,5,Positive,2025-12-08
REV00114,ORD00151,CUST0295,5,Positive,2025-01-17
REV00115,ORD00152,CUST0289,5,Positive,2025-09-17
REV00116,ORD00154,CUST0138,3,Neutral,2025-04-09
REV00117,ORD00155,CUST0062,3,Neutral,2025-03-02
REV00118,ORD00156,CUST0066,5,Positive,2025-02-11
REV00119,ORD00157,CUST0298,5,Positive,2025-03-06
REV00120,ORD00159,CUST0077,5,Positive,2025-09-05
REV00121,ORD00160,CUST0231,5,Positive,2025-06-28
REV00122,ORD00161,CUST0146,4,Positive,2025-07-13
REV00123,ORD00163,CUST0108,5,Positive,2025-04-10
REV00124,ORD00164,CUST0159,5,Positive,2025-05-08
REV00125,ORD00165,CUST0281,3,Neutral,2025-08-20
REV00126,ORD00167,CUST0245,5,Positive,2025-06-21
REV00127,ORD00168,CUST0140,5,Positive,2025-06-06
REV00128,ORD00169,CUST0138,1,Negative,2025-03-10
REV00129,ORD00171,CUST0227,1,Negative,2025-05-26
REV00130,ORD00173,CUST0300,2,Negative,2025-03-09
REV00131,ORD00174,CUST0275,1,Negative,2025-03-12
REV00132,ORD00175,CUST0287,3,Neutral,2025-06-11
REV00133,ORD00176,CUST0135,3,Neutral,2025-10-20
REV00134,ORD00177,CUST0165,4,Positive,2025-03-18
REV00135,ORD00179,CUST0266,5,Positive,2025-03-04
REV00136,ORD00181,CUST0282,4,Positive,2025-06-30
REV00137,ORD00183,CUST0284,4,Positive,2025-10-09
REV00138,ORD00185,CUST0223,5,Positive,2025-08-08
REV00139,ORD00186,CUST0026,5,Positive,2025-12-30
REV00140,ORD00187,CUST0205,5,Positive,2025-06-04
REV00141,ORD00190,CUST0148,5,Positive,2025-01-10
REV00142,ORD00191,CUST0193,5,Positive,2025-11-08
REV00143,ORD00192,CUST0056,5,Positive,2025-01-29
REV00144,ORD00194,CUST0016,4,Positive,2025-10-27
REV00145,ORD00195,CUST0160,5,Positive,2025-11-12
REV00146,ORD00196,CUST0290,5,Positive,2025-04-01
REV00147,ORD00197,CUST0078,5,Positive,2025-04-13
REV00148,ORD00198,CUST0258,4,Positive,2025-11-14
REV00149,ORD00201,CUST0266,3,Neutral,2025-10-19
REV00150,ORD00203,CUST0233,5,Positive,2025-03-06
REV00151,ORD00204,CUST0082,5,Positive,2025-07-29
REV00152,ORD00206,CUST0122,3,Neutral,2025-04-25
REV00153,ORD00207,CUST0179,5,Positive,2025-02-08
REV00154,ORD00208,CUST0288,4,Positive,2025-04-09
REV00155,ORD00209,CUST0030,4,Positive,2025-03-10
REV00156,ORD00210,CUST0067,4,Positive,2025-11-19
REV00157,ORD00211,CUST0006,5,Positive,2025-12-01
REV00158,ORD00212,CUST0100,5,Positive,2025-06-22
REV00159,ORD00213,CUST0267,1,Negative,2025-06-17
REV00160,ORD00214,CUST0274,4,Positive,2025-03-29
REV00161,ORD00217,CUST0012,5,Positive,2025-11-11
REV00162,ORD00218,CUST0264,4,Positive,2025-03-10
REV00163,ORD00219,CUST0183,4,Positive,2025-06-25
REV00164,ORD00220,CUST0241,4,Positive,2025-05-15
REV00165,ORD00221,CUST0088,2,Negative,2025-06-02
REV00166,ORD00222,CUST0221,4,Positive,2025-08-22
REV00167,ORD00223,CUST0208,1,Negative,2025-02-11
REV00168,ORD00224,CUST0077,5,Positive,2025-09-02
REV00169,ORD00225,CUST0046,5,Positive,2025-11-09
REV00170,ORD00226,CUST0208,2,Negative,2025-07-17
REV00171,ORD00227,CUST0074,4,Positive,2025-09-23
REV00172,ORD00228,CUST0197,5,Positive,2025-07-07
REV00173,ORD00234,CUST0122,5,Positive,2025-12-19
REV00174,ORD00236,CUST0172,3,Neutral,2025-06-07
REV00175,ORD00237,CUST0006,5,Positive,2025-12-19
REV00176,ORD00240,CUST0202,3,Neutral,2025-04-18
REV00177,ORD00241,CUST0010,4,Positive,2025-09-16
REV00178,ORD00242,CUST0277,4,Positive,2025-05-08
REV00179,ORD00243,CUST0042,5,Positive,2025-09-01
REV00180,ORD00244,CUST0072,4,Positive,2025-01-31
REV00181,ORD00247,CUST0206,4,Positive,2025-06-22
REV00182,ORD00248,CUST0052,5,Positive,2025-12-07
REV00183,ORD00250,CUST0260,3,Neutral,2025-05-03
REV00184,ORD00251,CUST0172,4,Positive,2025-11-24
REV00185,ORD00253,CUST0233,4,Positive,2025-04-17
REV00186,ORD00254,CUST0088,5,Positive,2025-07-03
REV00187,ORD00256,CUST0214,5,Positive,2025-02-07
REV00188,ORD00257,CUST0112,5,Positive,2025-03-23
REV00189,ORD00258,CUST0095,4,Positive,2025-07-17
REV00190,ORD00259,CUST0042,5,Positive,2025-12-03
REV00191,ORD00261,CUST0150,5,Positive,2025-08-26
REV00192,ORD00262,CUST0243,4,Positive,2025-07-15
REV00193,ORD00263,CUST0281,4,Positive,2025-08-23
REV00194,ORD00264,CUST0083,5,Positive,2026-01-06
REV00195,ORD00265,CUST0191,4,Positive,2025-08-29
REV00196,ORD00266,CUST0243,5,Positive,2025-06-08
REV00197,ORD00269,CUST0213,4,Positive,2025-08-25
REV00198,ORD00270,CUST0213,4,Positive,2025-04-16
