seller_id,seller_name,city,state,seller_rating
SELL001,Seller 1,Tirupati,Andhra Pradesh,4.5
SELL002,Seller 2,Bengaluru,Karnataka,4.5
SELL003,Seller 3,New Delhi,Delhi,4.7
SELL004,Seller 4,Hyderabad,Telangana,3.6
SELL005,Seller 5,Nagpur,Maharashtra,3.8
SELL006,Seller 6,Vadodara,Gujarat,4.5
SELL007,Seller 7,Kozhikode,Kerala,4.3
SELL008,Seller 8,Pune,Maharashtra,3.9
SELL009,Seller 9,Surat,Gujarat,4.2
SELL010,Seller 10,Hyderabad,Telangana,4.2
SELL011,Seller 11,Thrissur,Kerala,3.8
SELL012,Seller 12,Mysuru,Karnataka,4.8
SELL013,Seller 13,New Delhi,Delhi,5.0
SELL014,Seller 14,Mysuru,Karnataka,4.3
SELL015,Seller 15,Visakhapatnam,Andhra Pradesh,3.9
SELL016,Seller 16,Visakhapatnam,Andhra Pradesh,4.2
SELL017,Seller 17,Bengaluru,Karnataka,3.6
SELL018,Seller 18,Vadodara,Gujarat,4.1
SELL019,Seller 19,Mysuru,Karnataka,4.9
SELL020,Seller 20,New Delhi,Delhi,4.6
SELL021,Seller 21,Kozhikode,Kerala,4.2
SELL022,Seller 22,Pune,Maharashtra,3.5
SELL023,Seller 23,Vadodara,Gujarat,4.2
SELL024,Seller 24,Chennai,Tamil Nadu,4.4
SELL025,Seller 25,Hyderabad,Telangana,3.9
SELL026,Seller 26,Thrissur,Kerala,4.3
SELL027,Seller 27,Visakhapatnam,Andhra Pradesh,3.7
SELL028,Seller 28,Nagpur,Maharashtra,4.0
SELL029,Seller 29,Surat,Gujarat,3.6
SELL030,Seller 30,Nizamabad,Telangana,4.3
SELL031,Seller 31,New Delhi,Delhi,3.6
SELL032,Seller 32,Kozhikode,Kerala,3.9
SELL033,Seller 33,Vijayawada,Andhra Pradesh,5.0
SELL034,Seller 34,Surat,Gujarat,4.7
SELL035,Seller 35,New Delhi,Delhi,4.6
SELL036,Seller 36,Madurai,Tamil Nadu,4.3
SELL037,Seller 37,Hyderabad,Telangana,3.6
SELL038,Seller 38,New Delhi,Delhi,4.3
SELL039,Seller 39,Mangaluru,Karnataka,4.8
SELL040,Seller 40,Mysuru,Karnataka,4.9
